epoch,train_loss,val_loss,best_val_acc
Regularize
1,3.4965,2.0869,0.0000
2,2.5255,1.9695,0.4914
3,2.0276,1.9829,0.5166
4,1.6181,2.0570,0.5252
5,1.2930,2.1908,0.5252
6,1.0769,2.3025,0.5252
Normalize + Regularize
1,3.4840,2.0752,0.0000
2,2.5207,1.9316,0.4924
3,2.0233,1.9744,0.5252
4,1.6179,2.0661,0.5272
5,1.2923,2.1811,0.5272
6,1.0800,2.3003,0.5272
1,3.9198,2.6627,0.0000
2,3.1474,2.5630,0.4936
3,2.7451,2.5706,0.5211
4,2.4063,2.6274,0.5366
5,2.1404,2.6646,0.5366
6,1.9532,2.7126,0.5366
7,1.8340,2.7306,0.5366
8,1.7539,2.7011,0.5366
9,1.6887,2.6825,0.5366
10,1.6340,2.6598,0.5381
11,1.5913,2.6484,0.5412
12,1.5573,2.6452,0.5465
13,1.5342,2.6455,0.5465
14,1.5189,2.6440,0.5496
15,1.5117,2.6473,0.5507
1,3.9237,2.6832,0.0000
2,3.1423,2.5830,0.4888
3,2.7421,2.5650,0.5204
4,2.4047,2.6369,0.5273
5,2.1359,2.6635,0.5273
6,1.9524,2.6938,0.5302
7,1.8360,2.7156,0.5302
1,3.9305,2.6744,0.0000
2,3.1435,2.5783,0.4939
3,2.7425,2.5828,0.5209
4,2.4083,2.6205,0.5258
5,2.1364,2.6937,0.5307
6,1.9536,2.7212,0.5307
7,1.8365,2.7201,0.5307
1,3.1885,2.6810,0.0000
2,2.4130,2.5811,0.4860
3,2.0046,2.6097,0.5230
4,1.6603,2.6524,0.5230
5,1.4020,2.7060,0.5251
6,1.2305,2.7549,0.5251
7,1.1317,2.7591,0.5251
1,3.1815,2.6644,0.0000
2,2.4085,2.5687,0.4901
3,2.0009,2.5951,0.5241
4,1.6566,2.6373,0.5275
5,1.3962,2.7150,0.5302
6,1.2266,2.7400,0.5302
7,1.1317,2.7340,0.5302
1,3.1765,2.8023,0.0000
2,2.4804,2.5370,0.3637
3,2.0475,2.4772,0.4070
4,1.6309,2.4847,0.4342
5,1.2200,2.5721,0.4490
6,0.8556,2.8210,0.4508
7,0.5830,2.9986,0.4518
8,0.4099,3.1311,0.4518
9,0.3086,3.1128,0.4518
1,3.1858,2.7775,0.0000
2,2.4875,2.5617,0.3500
3,2.0849,2.5383,0.4035
4,1.7033,2.5408,0.4198
5,1.3493,2.6642,0.4330
6,1.0480,2.7925,0.4372
7,0.8097,2.9719,0.4387
8,0.6473,3.1177,0.4387
9,0.5372,3.2172,0.4387
10,0.4519,3.3230,0.4387
11,0.3973,3.3282,0.4387
12,0.3516,3.3695,0.4387
13,0.3077,3.3723,0.4387
14,0.2792,3.3806,0.4387
15,0.2484,3.3196,0.4387
16,0.2269,3.2981,0.4387
17,0.2060,3.2121,0.4396
18,0.1870,3.1873,0.4464
19,0.1752,3.1386,0.4464
20,0.1642,3.0410,0.4483
21,0.1556,2.9682,0.4528
22,0.1466,2.9068,0.4576
23,0.1414,2.8416,0.4576
24,0.1369,2.8056,0.4616
25,0.1337,2.7666,0.4644
26,0.1311,2.7303,0.4653
27,0.1291,2.7163,0.4662
28,0.1280,2.7117,0.4710
29,0.1273,2.7028,0.4710
30,0.1268,2.7018,0.4710
1,3.1408,2.7077,0.0000
2,2.4946,2.4379,0.3564
3,2.1683,2.3587,0.4139
4,1.8810,2.2849,0.4368
5,1.6116,2.2445,0.4611
6,1.3565,2.2766,0.4748
7,1.0824,2.3175,0.4808
8,0.8365,2.4336,0.4916
9,0.6218,2.5513,0.4916
10,0.4378,2.5847,0.4916
11,0.2964,2.6810,0.4980
12,0.1963,2.7366,0.5062
13,0.1353,2.7471,0.5062
14,0.0985,2.7871,0.5062
15,0.0819,2.7611,0.5088
1,3.1378,2.4430,0.0000
2,2.1602,2.0497,0.4092
3,1.7674,1.9148,0.4959
4,1.4841,1.8209,0.5317
5,1.2392,1.7787,0.5549
6,1.0224,1.8062,0.5672
7,0.8274,1.8355,0.5710
8,0.6627,1.8999,0.5751
9,0.5326,1.9960,0.5826
10,0.4208,2.0775,0.5826
11,0.3371,2.0885,0.5826
12,0.2686,2.2063,0.5826
13,0.2152,2.2699,0.5826
1,2.8517,2.2147,0.0000
2,1.8633,1.9019,0.4533
3,1.4868,1.8030,0.5253
4,1.2163,1.6961,0.5556
5,0.9806,1.7005,0.5837
1,2.8450,2.3176,0.0000
2,1.8822,1.9226,0.4309
3,1.5105,1.7701,0.5168
4,1.2415,1.7428,0.5567
5,1.0015,1.7624,0.5703
6,0.7944,1.7267,0.5806
7,0.6198,1.7778,0.5924
8,0.4775,1.8428,0.5937
9,0.3697,1.9167,0.5958
10,0.2836,1.9721,0.5958
11,0.2305,2.0275,0.5972
12,0.1785,2.0520,0.5983
13,0.1359,2.0941,0.6043
14,0.1119,2.1611,0.6043
15,0.0893,2.2617,0.6043
16,0.0658,2.1955,0.6043
17,0.0528,2.1961,0.6087
18,0.0410,2.2306,0.6121
19,0.0305,2.2265,0.6155
20,0.0208,2.1901,0.6202
21,0.0165,2.2247,0.6236
22,0.0107,2.2103,0.6261
23,0.0075,2.1801,0.6319
24,0.0055,2.1717,0.6339
25,0.0041,2.2000,0.6405
26,0.0032,2.1634,0.6405
27,0.0025,2.1747,0.6407
28,0.0018,2.1650,0.6407
29,0.0015,2.1646,0.6415
30,0.0014,2.1583,0.6415
1,2.9908,2.4024,0.0000
2,2.0137,2.0494,0.4081
1,2.9941,2.3491,0.0000
2,1.9944,1.9531,0.4255
3,1.6293,1.8476,0.4926
4,1.3414,1.7892,0.5416
5,1.0907,1.7455,0.5549
1,2.8513,2.2368,0.0000
2,1.8831,1.9188,0.4567
3,1.5120,1.7677,0.5188
4,1.2316,1.7272,0.5597
5,1.0071,1.6608,0.5776
6,0.7903,1.7189,0.5944
7,0.6150,1.8495,0.6023
8,0.4782,1.8895,0.6023
9,0.3700,1.9143,0.6023
10,0.2853,1.9476,0.6023
11,0.2207,2.0631,0.6023
